"","SampleID","TimePoint","Type","PlantID","WeightGrams","SampleNotes","Water","Inoculation","Replicate","PlantNotes","SampleType","Sample_or_Control"
"4","KSTRAW1046","T1","Root","R08I05W03",0.2075,"","High","Wet",8,"P9","post_inoc_post_stress","True Sample"
"8","KSTRAW0867","T1","Root","R11I04W01",0.0811,"","Low","Moderate",11,"","post_inoc_post_stress","True Sample"
"10","KSTRAW0870","T1","Root","R14I04W01",0.2076,"","Low","Moderate",14,"P27","post_inoc_post_stress","True Sample"
"11","KSTRAW0906","T1","Root","R08I01W02",0.0777,"","Moderate","Dry",8,"","post_inoc_post_stress","True Sample"
"12","KSTRAW0945","T1","Root","R05I04W02",0.3142,"","Moderate","Moderate",5,"","post_inoc_post_stress","True Sample"
"15","KSTRAW0994","T1","Root","R12I01W03",0.0812,"","High","Dry",12,"","post_inoc_post_stress","True Sample"
"28","KSTRAW1037","T1","Root","R13I04W03",0.0901,"","High","Moderate",13,"","post_inoc_post_stress","True Sample"
"32","KSTRAW0901","T1","Root","R03I01W02",0.1755,"","Moderate","Dry",3,"","post_inoc_post_stress","True Sample"
"34","KSTRAW0980","T1","Root","R12I06W02",0.2348,"","Moderate","Control",12,"","post_inoc_post_stress","Control"
"35","KSTRAW0966","T1","Root","R12I05W02",0.2699,"","Moderate","Wet",12,"","post_inoc_post_stress","True Sample"
"37","KSTRAW0826","T1","Root","R12I01W01",0.1895,"","Low","Dry",12,"","post_inoc_post_stress","True Sample"
"38","KSTRAW0975","T1","Root","R07I06W02",0.1993,"","Moderate","Control",7,"","post_inoc_post_stress","Control"
"40","KSTRAW0993","T1","Root","R11I01W03",0.0684,"","High","Dry",11,"","post_inoc_post_stress","True Sample"
"42","KSTRAW0974","T1","Root","R06I06W02",0.0774,"","Moderate","Control",6,"","post_inoc_post_stress","Control"
"44","KSTRAW1039","T1","Root","R01I05W03",0.3213,"","High","Wet",1,"P1","post_inoc_post_stress","True Sample"
"47","KSTRAW0860","T1","Root","R04I04W01",0.1201,"","Low","Moderate",4,"","post_inoc_post_stress","True Sample"
"48","KSTRAW0878","T1","Root","R08I05W01",0.2768,"","Low","Wet",8,"P26","post_inoc_post_stress","True Sample"
"61","KSTRAW1054","T1","Root","R02I06W03",0.1016,"","High","Control",2,"","post_inoc_post_stress","Control"
"62","KSTRAW0955","T1","Root","R01I05W02",0.3117,"","Moderate","Wet",1,"","post_inoc_post_stress","True Sample"
"68","KSTRAW0946","T1","Root","R06I04W02",0.19,"","Moderate","Moderate",6,"","post_inoc_post_stress","True Sample"
"69","KSTRAW0986","T1","Root","R04I01W03",0.1253,"","High","Dry",4,"","post_inoc_post_stress","True Sample"
"71","KSTRAW0908","T1","Root","R10I01W02",0.0646,"","Moderate","Dry",10,"","post_inoc_post_stress","True Sample"
"73","KSTRAW0956","T1","Root","R02I05W02",0.2302,"","Moderate","Wet",2,"","post_inoc_post_stress","True Sample"
"77","KSTRAW1029","T1","Root","R05I04W03",0.2467,"","High","Moderate",5,"","post_inoc_post_stress","True Sample"
"81","KSTRAW0861","T1","Root","R05I04W01",0.1131,"","Low","Moderate",5,"","post_inoc_post_stress","True Sample"
"82","KSTRAW0961","T1","Root","R07I05W02",0.3449,"","Moderate","Wet",7,"","post_inoc_post_stress","True Sample"
